,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
05-05-2022,DEEPAKNTR,EQ,2288.05,2235,2270,2142,2165,2160.55,2214.29,1818090,4.02578E+14,108076,527214,0.29,05-05-2022,9.489202484,20.52149061,0,-127.5,40.78996983,2262.014291,2260.36385,2242.23371,2161.803975,2094.683538,2025.626141,124,0,8.92013824
06-05-2022,DEEPAKNTR,EQ,2160.55,2140,2145.95,2021,2037,2028.6,2061.23,1319779,2.72037E+14,99464,410395,0.311,06-05-2022,-9.961549659,14.42488256,0,-131.95,28.42814732,2219.575329,2238.291103,2233.855917,2160.478562,2094.156975,2025.645901,121,0,11.09138546
09-05-2022,DEEPAKNTR,EQ,2028.6,1972,2053.6,1947.05,2000,1998.1,2002.47,876485,1.75513E+14,59898,185155,0.2112,09-05-2022,-27.52026943,6.035852159,0,-30.5,28.33040141,2179.307087,2215.41576,2224.610587,2158.862855,2093.391581,2025.462872,73.95,0,13.22804195
10-05-2022,DEEPAKNTR,EQ,1998.1,2005,2048,1920,1928.6,1935,1981.64,820447,1.62583E+14,63288,273620,0.3335,10-05-2022,-45.99709809,-4.370737892,0,-63.1,28.08783891,2134.887617,2188.709497,2213.253309,2156.635364,2092.129497,2024.86179,27.05,0,15.47162356
11-05-2022,DEEPAKNTR,EQ,1935,1939,1993,1875.75,1976.05,1970.05,1937.18,926292,1.79439E+14,64488,238393,0.2574,11-05-2022,-57.15305106,-14.92720052,35.05,0,31.00851841,2104.917141,2167.884783,2203.715925,2154.778793,2091.156752,2024.497592,44.25,0,18.00570137
12-05-2022,DEEPAKNTR,EQ,1970.05,1970.05,1992.85,1910,1925,1918.8,1946.59,849909,1.65443E+14,55910,283657,0.3337,12-05-2022,-69.33047231,-25.80785488,0,-51.25,20.82189632,2071.077661,2144.162423,2192.542751,2152.430745,2089.783391,2023.795282,0,0,21.2402384
13-05-2022,DEEPAKNTR,EQ,1918.8,1942,2035,1942,1986,1983.4,2001.52,947827,1.8971E+14,53380,212112,0.2238,13-05-2022,-72.92781976,-35.23184786,64.6,0,28.61596462,2055.136268,2128.851716,2184.341075,2150.748848,2088.935715,2023.526875,0,42.15,23.85702501
16-05-2022,DEEPAKNTR,EQ,1983.4,2020.1,2020.1,1965.3,1985,1977.8,1994.05,537092,1.07099E+14,32128,154633,0.2879,16-05-2022,-75.36189176,-43.25785664,0,-5.6,29.30215293,2041.075128,2114.465838,2176.241425,2149.027963,2088.050171,2023.223042,0,0,25.09124305
17-05-2022,DEEPAKNTR,EQ,1977.8,1990,2059.25,1987.75,2051,2052.05,2029.88,560663,1.13808E+14,28106,170136,0.3035,17-05-2022,-70.48702632,-48.70369057,74.25,0,33.9093622,2043.07056,2108.521472,2171.371173,2148.063009,2087.763317,2023.414583,0,39.15,27.45089005
18-05-2022,DEEPAKNTR,EQ,2052.05,2060,2083.75,2026,2039,2036.1,2050.63,569639,1.16812E+14,33663,145626,0.2556,18-05-2022,-67.13678102,-52.39030866,0,-15.95,34.47156766,2041.803185,2101.624189,2166.066421,2146.948949,2087.351658,2023.498872,0,24.5,27.81881295
