,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Date,MACD,Signal_Line,up,down,RSI,EMA10,EMA20,EMA50,EMA200,EMA250,EMA300,DMIN,DMIP,ADX14
06-09-2021,BAJFINANCE,EQ,7523.4,7550,7615,7485.1,7514.95,7506.35,7536.4,897071,6.76069E+14,79789,277082,0.3089,06-09-2021,344.670797,271.5526811,0,-17.05,93.04337882,7254.300592,6961.116014,6522.402975,5806.366645,5712.200147,5643.265177,0,60,61.17341542
07-09-2021,BAJFINANCE,EQ,7506.35,7528.9,7566.25,7407.2,7448.95,7457.3,7469.59,836013,6.24468E+14,81458,271746,0.325,07-09-2021,340.925819,285.4273087,0,-49.05,89.43364965,7291.209575,7008.371632,6559.065604,5822.793843,5726.105325,5655.318565,77.9,0,64.99426685
08-09-2021,BAJFINANCE,EQ,7457.3,7457,7514,7411.05,7452.85,7463.2,7465.2,859256,6.41452E+14,80729,321899,0.3746,08-09-2021,334.5771801,295.257283,5.9,0,88.30540969,7322.480561,7051.688619,6594.521854,5839.116292,5739.946717,5667.331066,0,0,68.25507527
09-09-2021,BAJFINANCE,EQ,7463.2,7430,7460,7380,7428,7430.65,7418.62,700436,5.19627E+14,65504,288857,0.4124,09-09-2021,323.1937488,300.8445761,0,-32.55,84.50123291,7342.147732,7087.780179,6627.311193,5854.952448,5753.418456,5679.047471,31.05,0,70.1903431
13-09-2021,BAJFINANCE,EQ,7430.65,7430.65,7495,7352,7451.95,7445.55,7419.32,802565,5.95449E+14,86733,300657,0.3746,13-09-2021,311.7805903,303.031779,14.9,0,83.36461191,7360.948144,7121.853495,6659.39899,5870.77929,5766.901576,5690.785029,0,35,71.31625642
14-09-2021,BAJFINANCE,EQ,7445.55,7480,7530,7408,7415,7417.55,7450.12,719258,5.35856E+14,73995,300256,0.4175,14-09-2021,297.0519837,301.8358199,0,-28,76.06506584,7371.239391,7150.015067,6689.130402,5886.170043,5780.054153,5702.25855,0,35,71.49329336
15-09-2021,BAJFINANCE,EQ,7417.55,7445,7480,7380,7409,7414.15,7410.84,657283,4.87102E+14,83065,346189,0.5267,15-09-2021,281.8560442,297.8398648,0,-3.4,79.05622987,7379.04132,7175.170775,6717.562543,5901.373824,5793.074837,5713.633244,28,0,71.7063144
16-09-2021,BAJFINANCE,EQ,7414.15,7445,7445,7330.5,7415,7411.5,7381.98,577129,4.26035E+14,63734,177821,0.3081,16-09-2021,266.5269629,291.5772844,0,-2.65,80.08280534,7384.942898,7197.67832,6744.775777,5916.399955,5805.970655,5724.914751,49.5,0,71.93471294
17-09-2021,BAJFINANCE,EQ,7411.5,7445.5,7679.95,7360,7442,7428.8,7538.26,3474969,2.61952E+15,203446,1275198,0.367,17-09-2021,252.8597116,283.8337698,17.3,0,79.63960498,7392.916917,7219.689909,6771.600256,5931.448711,5818.901566,5736.236248,0,234.95,72.38443069
20-09-2021,BAJFINANCE,EQ,7428.8,7360,7581,7320.75,7428,7442.45,7468.86,1083806,8.0948E+14,97599,203797,0.188,20-09-2021,240.3590479,275.1388254,13.65,0,73.29464211,7401.922932,7240.905156,6797.908089,5946.48355,5831.838207,5747.573216,39.25,0,70.92552756
